as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"October 06, 2011",Brad Duguid,Scarborough Centre,"Salary - Legislative Assembly of Ontario, Ministerial Salary",Nil.,"Mortgage - Royal Bank of Canada
Lines of Credit - Royal Bank of Canada",Nil.,Nil.
"October 06, 2011",Charles Sousa,Mississauga South,"Salary - Legislative Assembly of Ontario, Ministerial Salary","Shares: Royal Bank of Canada, Toronto Dominion Bank, Bank of Nova Scotia, Canadian Imperial Bank of Commerce, Bank of Montreal
RRSP - Shares: Royal Bank of Canada, Toronto Dominion Bank
(Pursuant to s. 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Sousa is not required to place these equities in trust on the condition that he does not buy, sell or trade same.)",Line of Credit - RBC Financial Group,Nil.,Nil.
"October 06, 2011",Cheri DiNovo,Parkdale-High Park,"Legislative Assembly of Ontario
CPP Survivor's pension",RRSP: Sector-Specific Fund: Mac Universal Precious Metals,"Line of Credit - Manulife
Mortgage - Mortgage Intelligence
Loan - Canadian Imperial Bank of Commerce",Nil.,"Board Member, Ruth's Daughters of Canada"
"October 06, 2011",Chris Bentley,London West,"Salary - Legislative Assembly of Ontario, Ministerial salary
Book Royalties - Carswell","Management Trust dated August 3, 2008",Line of Credit - TD Canada Trust,Nil,Nil
"October 06, 2011",Christine Elliott,Whitby-Oshawa,"Salary - Legislative Assembly of Ontario
Partnership Income - Flaherty, Dow, Elliott & McCarthy
Rental Income","Flaherty Dow Elliot & McCarthy (Partnership) held by 1012713 Ontario Limited - 33.3% joint interest with spouse (33.3%interest held by Todd McCarthy, 33.3% held by Grant Dow)
Property: 340 Watson Street West, Whitby - 50% interest, 132 Dundas St. W., Whitby - 33.3% interest joint with
spouse, Vacant land Garden Street, Whitby - 50% interest
Legacy Private Trust - Legacy Equity and Participation units
RRSP - Shares/Trust Units: Bank of Nova Scotia, BCE Inc., Leons Furniture Ltd, Nal Energy Corporation, AnnTaylor Stores Corp
Mutual funds - RBC Global Precious Metals Fund","Mortgages - Royal Bank of Canada
Line of Credit - Royal Bank of Canada",Nil.,"Treasurer & Director - 1012713 Ontario Limited
Director & Chair of Audit Committee - Legacy Private Trust
Secretary & Director - Abilities Centre Durham"
"October 06, 2011",Cindy Forster,Welland,"Ontario Nurses Association - Salary
Region of Niagara - Salary",Nil.,Mortgage - Royal Bank,Nil.,Nil.
"October 06, 2011",Dalton McGuinty,Ottawa South,"Salary - Legislative Assembly of Ontario, Premier's salary",Nil,Nil,Premier McGuinty received the following: a leather duffle bag; various B.C. artisan crafts; Team Canada token; Vancouver Canucks jersey; Lululemon jacket; various B.C. wines and spirits; and various gourmet food items (jams; crackers) from B.C. Premier Christy Clark; silver-plated bowl with Native moon spirit motif from Governor General David Johnston; leather jacket from Manitoba Premier Greg Selinger.,Nil
"October 06, 2011",Dave Levac,Brant,Salary - Legislative Assembly of Ontario,Nil.,"Mortgage - RBC Financial
Guarantor - RBC Student Loan
Line of Credit - Teachers Credit Union",Nil.,Nil.
"October 06, 2011",David Orazietti,Sault Ste. Marie,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil.,Mortgage - Northern Credit Union,Nil.,Nil.
"October 06, 2011",David Zimmer,Willowdale,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary
Honorarium - CFA Institute, Virginia",Nil,"Guarantee - Willowdale Liberal Provincial Association (Riding Association line of credit)
Guarantee - The David Zimmer Campaign",Nil.,"Member - Capital Campaign Cabinet Committee, St. John's Rehabilitation Hospital Toronto"
"October 06, 2011",Deb Matthews,London North Centre,"Salary - Legislative Assembly of Ontario, Ministerial salary
Rental Income - Tenant
Annuity and CPP Survivor Benefits",Wynnwood Pinnacle Management Groups Corporation (Golf Course in Texas) - 0.295% interest,Nil.,Nil.,Nil.
"October 06, 2011",Dipika Damerla,Mississauga East-Cooksville,"Salary - Ministry of Economic Development and Trade (resigned July 30, 2011))
Investment income","Shares - Bank of Nova Scotia, Fibrek Inc., Pembina Pipelines, Royal Bank of Canada, Tata Motors (ADR), Wells Fargo, BIP

Mutual Funds - Sprott Energy",Nil.,Nil.,Nil.
"October 06, 2011",Donna Cansfield,Etobicoke Centre,Salary - Legislative Assembly of Ontario,"RRSP - Shares: IBM, EnCana, Bank of America, Maple Leaf Foods, Cisco, SUncor Energy Inc.
Sector-specific mutual funds: Claymore Global Agriculture ETF",Nil.,Nil.,"Director - Learning for a sustainable future (Leave of absence as of November, 2005)
Honourary Patron - World Green Building Council
Member of Board of Directors - International Air Show"
"October 06, 2011",Dwight Duncan,Windsor-Tecumseh,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil.,"Mortgage - Bank of Montreal
Personal loan - Bank of Montreal
Line of credit - Bank of Montreal",Nil.,Nil.
"October 06, 2011",Elizabeth Witmer,Kitchener-Waterloo,Salary - Legislative Assembly of Ontario,"Shares: TransCanada, BCE, Callinan Royalties, Callinex Mines, CIBC, Centric Health, Fortis, Manulife Financial, Rogers Communications, Royal Bank of Canada, Suncor, Telus

Mutual Funds: Universal Canadian Resources Fund

TFSA - Research in Motion, Suncor, Centric Health",Nil,Nil,Nil
"October 06, 2011",Eric Hoskins,St. Paul's,"Salary: Legislative Assembly of Ontario, Ministerial salary
OHIP","RRSP - Shares: CI Financial Corp (Pursuant to s. 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Hoskins is not required to place this equity in trust on the condition that he does not buy sell or trade same.)","Mortgages: CIBC, Scotiabank",Nil.,Nil.
"October 06, 2011",Ernie Hardeman,Oxford,Salary - Legislative Assembly of Ontario,"E. Hardeman & Sons Ltd. (Inactive) - 51% interest
RRSP - Sector specific mutual fund: Sentry Select REIT Fund",Nil.,Nil.,E. Hardeman & Sons Ltd. - President
"October 06, 2011",France Gelinas,Nickel Belt,Salary - Legislative Assembly of Ontario,"Securities: JOV Diversfd F/T 2007 LPU, CIBC PFD, Yellow Media S1 PFD
Sector specific mutual funds: Enervest Natural Resources Fund EE FL, DMP Resource Class FL",Nil.,Nil.,Nil.
"October 06, 2011",Frank Klees,Newmarket-Aurora,"Salary - Legislative Assembly of Ontario
Klees & Associates Ltd.
Director's Fees for Roxul Inc., Rice Commercial, ONE Bio Corp., Tribute Resources (resigned)
Consulting and Advisory Fees","Klees & Associates Ltd. - 100% interest
National Medical Imaging Corp - 10% interest
Registered share units: ONE Bio Corp.
Class A Share - RRSP: Duca Credit Union","Mortgages: TD Canada Trust, Pace Credit Union
Line of Credit: TD Canada Trust",Nil.,"President - Klees & Associates Ltd.
Director - National Medical Imaging Corp. , ONE Bio Corp.
Supervisory Board Member - Roxul Inc."
"October 06, 2011",Garfield Dunlop,Simcoe-North,Salary - Legislative Assembly of Ontario,"Glen Dunlop Plumbing Heating and Supplies Ltd (Construction) - 20% interest (C. Dunlop, M. Dunlop, A.
Dunlop, K. Chrysler - 20% each)
Polyethics Properties Inc. - 10% interest
Rakarl Limited (Holding Company) - 50% interest
1267831 Ontario Inc. - 10% interest
Shares: Toronto Dominion Bank
RRSP: Shares: Canadian National Railway, Crescent Point Energy Corp., Fortis Inc., Imperial Oil Ltd., National Bank of Canada, Suncor Energy Inc., Toronto Dominion Bank, Bank of Nova Scotia, BHP Billiton Ltd., Canadian Natural Resources, Canadian Oil Sands Limited, Canadian Pacific Railway, CI Financial Corp., E I Du Pont De Nemours & Co., EBAY Inc., Google Inc., HSBC Holdings PLC, Just Energy Group Inc., NAL Energy Corporation, National Bank of Canada, Nexen Inc., Progressive Waste Solutions, SNC Lavalin Group, Sun Life Financial Inc., Teck Resources Limited, Apple Inc.",Nil.,Nil.,"Glen Dunlop Plumbing Heating and Supplies Ltd. - Director
Polyethics Properties Inc. - Director
Rakarl Inc. - Director
1267831 Ontario Inc. - Director"
"October 06, 2011",Gilles Bisson,Timmins-James Bay,Salary - Legislative Assembly of Ontario,Nil.,Line of Credit - Scotiabank,Nil.,Nil.
"October 06, 2011",Glen Murray,Toronto Centre,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil,"Mortgage - CIBC
Loan - CIBC",Nil,Nil
"October 06, 2011",Grant Crack,Glengarry-Prescott-Russell,"Home Hardware - Salary (resigned October 7, 2011)
Mayor of North Glengarry - Salary (resigned October 11, 2011)
United Counties of Stormont, Dundas and Glengarry Council - Salary (resigned)
Rental Income from rental properties","2265731 Ontario Ltd. (inactive) - 50% interest
268 - 270 Main Street South, Alexandria, ON. - Investment properties","Mortgage - Royal Bank of Canada
Mortgages - Scotiabank",Nil.,Director - 2265731 Ontario Ltd. (inactive)
"October 06, 2011",Greg Sorbara,Vaughan,"Salary - Legislative Assembly of Ontario
Other income: investments, partnerships and joint ventures","Loans Receivable

Shares: Wedgewood Columbus Limited, Harpenden Holdings Limited, NHD Holdings Limited, Discount Plaza Limited, 845286 Ontario Limited, Sorbara/St Mikes Limited, Strategic Revenue Management Services Inc, Adriatic Millennium Holdings

Partnerships & Joint Ventures: Bergasmith Partnership - 25% interest, Estate Industrial Park - 16.67% interest, Eglinton Investment Company - 12.5% interest, Smith Farm Property Limited Partnership - 25% interest, Apex Partnership - 25% interest, Drew Road Development Company - 16.67% interest, 230 Belfield Joint Venture - 12.5 % interest

RRSP - Shares - Tim Hortons, BCE, Bombardier, TransAlta, Canadian Imperial Bank of Commerce, Microsoft, Power Corp., Rogers, Royal Bank

Sector-specific mutual funds: Dynamic DMP Resource; Front Street Resource, iShares Capped Energy",Nil,Nil,Vallican Investments Incorporated - President and Director
"October 06, 2011",Harinder S. Takhar,Mississauga Erindale,"Salary - Legislative Assembly of Ontario, Ministerial Salary
Pension - OMERS
Interest on investments","Trust Agreement dated November 7, 2006",Line of Credit - TD Canada Trust,Nil,Nil
"October 06, 2011",Helena Jaczek,Oak Ridges-Markham,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
Pension - OMERS
Investment Income
MMXI Inc. -Investment Income","MMXI Inc. - 100% Interest
RRSP - Sector specific mutual fund - Renaissance Global Infrastructure Fund",Nil.,Nil.,MMXI Inc. - President and Secretary
"October 06, 2011",Jack MacLaren,Carleton-Mississippi Mills,"Pickseed Inc. - Sales Commission (resigned October 6, 2011)
Family Farm - Cash Crop farming and Grain Sales
Investment property - rental income","Equities: : Reverslogix corp., Potash Corp. of Saskatchewan.
Maple Terrrace Builders Ltd. - Construction company (100% interest) - inactive
Family farm - cash crop farming
Real Property - L24 C2 Torbolton Township City of Ottawa
Real Property - L25 C2 Torbolton Township City of Ottawa
Real Property - L25 C1 Torbolton Township City of Ottawa
Real Property - L20 C2 Torbolton Township City of Ottawa
Real Property - L21 + L22 C9 Fitzroy Township City of Ottawa","Mortgage - Northern Credit Union
Mortgage - Farm Credit Corporation",Nil.,Maple Terrace Builders Ltd. - Director.
"October 06, 2011",Jagmeet Singh,Bramalea-Gore-Malton,Legal Fees - Dhaliwal Law,"2271202 Ontario Inc. (100% ownership)
Dhaliwal Law - Law Firm (50% interest)
Investment property owned by holding company - #206 - 7900 Hurontario St. , Brampton, On.","Mortgage - First National
Mortgage (owed by holding company) - Equitable Trust",Nil.,2217202 Ontario Inc. - Director
"October 06, 2011",James Bradley,St. Catharines,"Salary - Legislative Assembly of Ontario, Ministerial salary
Investment income",Nil.,Nil.,Nil.,Nil.
"October 06, 2011",Jane McKenna,Burlington,Salary - Play Advertising,Rainmaker Consulting - 100% interest (inactive),Mortgage - Effort Trust,Nil.,Rainmaker Consulting - President
"October 06, 2011",Jeff Leal,Peterborough,"Salary - Legislative Assembly of Ontario, Chief Government Whip
Rental Income - Investment property","Investment property - 666 Montrose Street, Peterborough, ON. - 50% interest",Mortgages - Scotia Bank,Nil.,Nil.
"October 06, 2011",Jeff Yurek,Elgin-Middlesex-London,Yurek Pharmacy Limited - Dividend,"Yurek Pharmacy Limited - 25% interest (The remaining 75% interest is held by the member's brother, Peter Yurek).

Yurek Home Healthcare (wholly owned by Yurek Pharmacy Limited) - 25% interest (The remaining 75% interest is held by the member's brother, Peter Yurek).

CONTRACTS WITH THE GOVERNMENT:
1. Yurek Pharmacy Limited has a contract with the Southwest West Community Care Access Centre to distribute medical supplies, medical equipment and IVs within the Grey Bruce area. This contract runs from August 9, 2009 until May 31, 2013.
2. Yurek Pharmacy Limited has a contract with the Southwest West Community Care Access Centre to distribute medical supplies, medical equipment and IVs within the Elgin area. This contract runs from November 23, 2001 until May 31, 2013.

Equities: Dunav Resources Ltd., Ryan Gold Corp., ID Watchdog, Bank of Nova Scotia, Tristar Gold Inc.
RRSP Equities: Banco Santander, BP, Stryker Corp., Columbus Gold Corp., New Oroperu Resources Inc.
RRSP Sector-Specific Mutual Funds: Dynamic Focus + Resource Fund.","Mortgages - Scotia Bank
Guarantor on loan from Scotiabank to Yurek Pharmacy",Nil.,Director - Yurek Pharmacy Limited
"October 06, 2011",Jerry Ouellette,Oshawa,Salary - Legislative Assembly of Ontario,Mutual Funds - sector specific: CIBC Canadian Resources; CIBC Precious Metals,"Mortgage - CIBC
Lines of credit - CIBC",Nil.,Nil.
"October 06, 2011",Jim McDonell,Stormont-Dundas-South Glengarry,"Salary - Township of South Glengarry, Counties of Stormont Dundas & Glengarry (Resigned Oct. 11, 2011)
Director's fees - MPAC (Resigned Oct. 11, 2011)",Nil.,"Mortgage - TD Canada Trust
Loan - B2B Trust",Nil.,"Glengarry Nurse Practitioner Led Clinic - Director and Secretary (Resigned Dec. 15, 2011)"
"October 06, 2011",Jim Wilson,Simcoe-Grey,"Salary - Legislative Assembly of Ontario, Opposition House Leader",Nil.,Mortgage - Bank of Montreal,Nil.,Nil.
"October 06, 2011",Joe Dickson,Ajax-Pickering,"Salaries: Legislative Assembly of Ontario, Parliamentary Assistant
Pensions: Canada Pension Plan, RRIFs","L.J. Dickson Printing Ltd. - 100% interest
870621 Ontario Limited (Holding Company, Real Estate) - 50% interest","Line of Credit , Royal Bank",Nil,"870621 Ontario Limited - Director
L.J. Dickson Printing Ltd - President
Ajax-Pickering Provincial Liberal Association - Ex Officio
Ajax-Pickering Federal Liberal Association - Director"
"October 06, 2011",John Gerretsen,Kingston and the Islands,"Salary - Legislative Assembly of Ontario, Ministerial salary
Pensions income: OMERS, CPP","Shares: Suncor, Manulife, Sunlife, General Motors, Teck Corporation, Toronto-Dominion Bank
(Pursuant to s.13 of the Members' Integrity Act, 1994 the Commissioner has agreed that Mr. Gerretsen may
retain these shares on the condition that he does not trade, acquire or sell same.)",Nil.,Nil,Nil
"October 06, 2011",John Milloy,Kitchener Centre,"Salary - Legislative Assembly of Ontario, Ministerial salary
Book royalties",Nil,Nil,Nil,Nil
"October 06, 2011",John O'Toole,Durham,"Salary - Legislative Assembly of Ontario
Pensions - GM Pension Royal Trust; Canada Pension","Shares - Kinross Gold Corp., Suncor Energy
RRSP shares - Royal Bank of Canada, Wal-Mart Stores Inc., Blue Ribbon Income Fund Trust",Nil.,Nil.,Nil.
"October 06, 2011",John Vanthof,Timiskaming-Cochrane,"Dairy farm / milk and cattle sales
Rental Income - investment property","Vanthof Farms / dairy farm - 50% interest
Shares - Gay Lea Foods","Mortgage - Farm Credit Corporation
Mortgage - Bank of Nova Scotia",Nil.,The Temiskaming Foundation / Vice Chair
"October 06, 2011",John Yakabuski,Renfrew-Nipissing-Pembroke,"Salary - Legislative Assembly of Ontario, House Leader of Official Opposition","PJ WYE Holdings Ltd. (property) - 80% interest (inactive)
969041 Ontario Limited - 58% interest
2 Promissory Notes - Renfrew Golf Club Limited
RRSP: Equities - Advantage Oil & Gas Ltd., CI Financial Group, Suncor Energy Inc.",Nil.,Nil.,"President: 969041 Ontario Limited (inactive)
President: PJ WYE Holdings Ltd. (inactive)"
"October 06, 2011",Jonah Schein,Davenport,"Federal NDP - Salary (concluded in May 2011)
Social Planning Council of Toronto - Contract (concluded in July 2011)",Nil.,"Mortgage - TD
Loan - TD",Nil.,Nil.
"October 06, 2011",Julia Munro,York-Simcoe,"Salary - Legislative Assembly of Ontario
Pension - Ontario Teachers Pension Plan
Sales, Boarding Income - Coquetel Kennels","Sornum Inc. (Consulting/Management) - 50% interest
Coquetel Kennels - 50% interest

Mutual Funds - Stone & Co Resource Plus

Shares: Eldorado Gold Crp, Sherritt Intl Corp, Bank of Montreal, Mcan Mortgage Corp, Gabelli Equity Trust Inc.,
PPL Corp., Alcoa Inc, Power Financial, Telus, Great-West Life, Silver Wheaton, General Electric, Inter Pipeline,
Royal Bank of Canada, Armtec Infrastructure, Sterling Shoes, Canadian Oil Sands, Pacific North West Cap, Manulife Financial, Aecon Group, TD Bank

Trust Units: Chartwell SN Housing REI, H & R Stapled Unit, Citadel Smart Fund T/U, Riocan R/Estate Inv T/U,
Citadel Prem Incm Fd T/U, Skylon Intl Adv Yld -B T/U, Brookfield Sound Equity, Faircourt, Ashton Hill

Preferred Shares: Bank of Montreal, Brookfield Properties, CIBC, Faircourt, Laurentian Bank,
Power CP, Royal Bank",Nil,Nil,"Sornum Inc. - Director
Albany Club - Director"
"October 06, 2011",Kathleen Wynne,Don Valley West,"Salary - Legislative Assembly of Ontario, Ministerial Salary
Rental Income","Investment property - 556 Priddle Rd, Newmarket","Mortgages - Alterna Savings, Scotia Bank",Nil,Nil
"October 06, 2011",Kevin Flynn,Oakville,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant",Nil.,Mortgage - ING Direct,Nil.,Nil.
"October 06, 2011",Kim Craitor,Niagara Falls,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant Salary
Pension - Federal Government - Superannuation Fund","Shares - Cataract Savings & Credit Union
RRSP - H&R Real Estate Investment Trust Units",Nil,Nil,Niagara Falls Labour Charitable Foundation - President/Director
"October 06, 2011",Laura Albanese,York South-Weston,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant Salary","Equities/Trust Units: Atlantic Power Corp., Bell Alliant Inc., BCE Inc. 1st PFD, BCE Inc. 1st PFT, Bankers Petroleum Ltd., Bombardier Inc. PFD, Cineplex Inc., Crescent Point Energy Corp., Enerplus Corporation, Exchange Income Corporation, NAL Energy Corp, North American Tungsten Corporation, Strateco Resources Inc., Student Transportation Inc., Qwest Energy, Dundee Real Estate Inv. Trust.
RRSP - Equities: Qwest Energy
Mortgage held through B2B Trust for 274 Dundas St., Toronto, ON.","Mortgage - Scotiabank
Line of credit - Scotiabank",Nil.,Nil.
"October 06, 2011",Laurel Broten,Etobicoke-Lakeshore,"Salary - Legislative Assembly of Ontario, Minister's salary","Unit - 183 Wellington Street West, Toronto - 50% interest","Mortgages - Royal Bank of Canada
Mortgage - Laurentian Bank
Line of Credit - Royal Bank of Canada
Line of Credit - ING",Nil.,Nil.
"October 06, 2011",Laurie Scott,Haliburton-Kawartha Lakes-Brock,"PC Party of Canada - Salary (resigned October 6, 2011)","Sector Specific Funds: Fidelity Focus Natural Resource Fund, Sentry Canadian Resource Class Fund",Nil.,Nil.,Kinmount Agricultural Society - Director
"October 06, 2011",Linda Jeffrey,Brampton Springdale,"Salary - Legislative Assembly of Ontario, Minister's salary",Nil.,"Mortgage - First Line Trust
Lines of credit, TD Canada Trust, Royal Bank of Canada
Loan - Laurentian Bank",Nil.,Nil.
"October 06, 2011",Lisa MacLeod,Nepean-Carleton,Salary - Legislative Assembly of Ontario,Nil.,"Mortgage - Royal Bank
Line of credit - Royal Bank",Nil.,Nil.
"October 06, 2011",Lisa Thompson,Huron-Bruce,"Ontario Dairy Goat Cooperative - salary (resigned as of October 6, 2011)",Nil.,Mortgage - Bank of Montreal,Nil.,Vice President - Ontario Agri-Food Education Inc. (resigned December 2011)
"October 06, 2011",Liz Sandals,Guelph,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","Equities: Bell Canada Enterprises, Interpipeline Fund, Sun Life Financial, Transcanada Corp.
Sector-Specific Fund: RioCan Real Estate Trust",Nil.,Nil.,Nil.
"October 06, 2011",Lorenzo Berardinetti,Scarborough Southwest,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant",Nil.,"Mortgage - Scotiabank
Line of Credit - Royal Bank",Nil.,Nil.
"October 06, 2011",Madeleine Meilleur,Ottawa-Vanier,"Salary - Legislative Assembly of Ontario, Ministerial Salary
Rental Income","Trust Agreement dated December 22, 2003
Condo - MacKay St., Ottawa",Mortgage - CIBC,Nil.,Nil.
"October 06, 2011",Margarett Best,Scarborough-Guildwood,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil.,Mortgage - TD Canada Trust,Minister Best (as Minister of Health Promotion and Sport) received the following: two tickets to attend the 2011 Tennis Canada Rogers Cup; from York University; one ticket to a dinner for Vicente Fox; former President of Mexico; from Participaction/Air Miles for Social Change; two tickets to the National Ballet of Canada; from the National Ballet of Canada.,Nil.
"October 06, 2011",Mario Sergio,York West,"Salary - Legislative Assembly of Ontario - Parliamentary Assistant salary
Pension - OMERS
Rental Income - Tenants","First General Realty Ltd. - 100% interest
Marvel-Tech Home Building Co (Inactive) - 100% interest
Alpha One Energy Solutions (Inactive) - 10% interest
Investment Properties (50% interest) 2662 Bloor St. West, Toronto 10 Dayspring Circle, Brampton","Mortgages - CIBC
Line of credit - Scotiabank",Nil.,Nil.
"October 06, 2011",Michael Chan,Markham-Unionville,"Salary - Legislative Assembly of Ontario, Ministerial salary","Management Trust dated April 20, 2008
Investment property - 12 Sylvia Court Markham (vacant lot) - 100% interest
RRSP/Equities - Shares: Advanced Micro Devices, Bioniche Life Sciences Inc., Petaquilla Minerals Ltd., Suncor
Energy Inc
Mutual Funds: TD Resource-A, CIBC Financial Companies
(Pursuant to s. 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Chan
is not required to place the above equities in trust on the condition that he does not buy sell or trade same.)
RESP - Sector-specific mutual funds: CIBC Global Technologies Fund, CIBC Financial Companies Fund",Line of Credit - CIBC,Nil,Chan Associates (Social Club) - Vice-Chair
"October 06, 2011",Michael Coteau,Don Valley East,"Salary - Toronto District School Board (ceased October 22, 2011)
Salary - AlphaPlus (resigned October 6, 2011)
Salary - Capture Media",Capture Media / Web Development (100 per cent),Loan - Scotiabank,Nil.,Nil.
"October 06, 2011",Michael Gravelle,Thunder Bay-Superior North,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil,Mortgage - CIBC,Nil,Nil
"October 06, 2011",Michael Harris,Kitchener-Conestoga,"Salary - Honeywell Building Solutions (Resigned October 7, 2011)",Nil,"Mortgage - TD Canada Trust
Lines of Credit - TD Canada Trust",Nil,Nil
"October 06, 2011",Michael Mantha,Algoma-Manitoulin,"Salary - Federal Government (MP Carol Hughes' office) - resigned October 6, 2011",Nil.,Line of Credit - TD Bank (Line of Credit for Algoma Manitoulin Riding Association),Nil.,Nil.
"October 06, 2011",Michael Prue,Beaches-East-York,"Salary - Legislative Assembly of Ontario
Pensions - Government of Canada, City of Toronto",Sector-specific Mutual funds - CIBC Financial Companies,"Line of Credit - CIBC
Mortgage - CIBC",Nil.,"East York Foundation - Director
Canadians for Children at Health Risk - Honourary Chair"
"October 06, 2011",Mike Colle,Eglinton-Lawrence,"Salary - Legislative Assembly of Ontario, PA to Minister of Natural Resources",Nil.,Mortgage - CIBC,Nil.,Nil.
"October 06, 2011",Monique Taylor,Hamilton Mountain,"Salary - City of Hamilton (resigned October 6, 2011)",Nil.,Nil.,Nil.,Nil.
"October 06, 2011",Monte Kwinter,York Centre,"Salary - Legislative Assembly, Parliamentary Assistant
Director's fee - Alpha Laboratories Inc.","Shares - Venga Aerospace Systems Inc.
Trust Units - Activenergy Income Fund

RRSP - Shares - AGF Management, CI Financial, Onex Corp.
RRSP - Trust Units - ActiveEnergy",Nil.,Nil.,"Canadian Society for Yad Vashem / Honourary Director
Canadian Israel Chamber of Commerce / Director
Alpha Laboratories Inc. Advisory Board / Chair
Ontario College of Art & Design Presidential Advisory Council / Member"
"October 06, 2011",Monte McNaughton,Lambton-Kent-Middlesex,"Salary - McNaughton Automotive Ltd. (January 1, 2011 to October 31, 2011) - Resigned as employee on October 6, 2011","McNaughton Automotive Ltd. (40% interest). Heather McVicar owns a 20% interest and Mike McNaughton, the member's brother, owns a 40% interest in McNaughton Automotive Ltd.

CONTRACTS WITH GOVERNMENT: McNaughton Automotive Ltd. has a contract with the LCBO to operate an Agency Store and to sell LCBO products. This contract is valid from January 1, 2011 until December 31, 2015.",Mortgage - Royal Bank of Canada,Nil.,"Director and Vice President - McNaughton Automotive Limited (resigned October 6, 2011)"
"October 06, 2011",Norm Miller,Parry Sound-Muskoka,"Salary - Legislative Assembly of Ontario
Interest income","Mortgage - Patterson-Kaye Limited
RRSP - Shares: Algoma Central Corp.","Loan - Bank of Nova Scotia
Loan - Cavalcade Leasing",Nil,Nil
"October 06, 2011",Paul Miller,Hamilton East-Stoney Creek,"Salary - Legislative Assembly of Ontario
Pension - US Steel (formerly Stelco)",Nil.,Nil.,Nil.,Nil.
"October 06, 2011",Peter C Tabuns,Toronto-Danforth,"Salary - Legislative Assembly of Ontario
Pension - OMERS",Nil,Nil,Nil,Nil
"October 06, 2011",Peter Shurman,Thornhill,"Salary - Legislative Assembly of Ontario
Pension - CPP
Investment income","Northern Pipes - 100% interest (inactive)

Shares: TransCanada Corp., Great West Lifeco, Student Transport of America, Bonavista Energy Trust,
H&R REIT (stapled unit), Rogers Sugar, Painted Pony Petroleum, Wi-Lan Inc., Legacy Oil, BCE Inc., Central (Gold) Fund of Canada, Crescent Point Gas, Inter Pipeline Trust, Suncor Energy, Telus Corp., Veresen Inc., CIBC, Nevada Copper, Royal Bank of Canada, Silver Wheaton Mining.
Shares in RRSP: ARC Resources Ltd., Provident Energy Ltd.","Mortgage - Bank of Montreal
Line of Credit - Bank of Montreal",Nil.,Nil.
"October 06, 2011",Philip McNeely,Ottawa-Orleans,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
Pensions: OMERS, Canada Pension, Old Age Security",RRIF - Mutual Funds: Canadian Resource (Mackenzie),Nil.,Nil.,Nil.
"October 06, 2011",Randy Hillier,Lanark-Frontenac-Lennox and Addington,Salary - Legislative Assembly of Ontario,Landowner Magazine - 30% interest,Mortgage - AGF Trust,Nil.,Landowner Magazine - Director
"October 06, 2011",Randy Pettapiece,Perth-Wellington,Jane Painted Mine - Salary,Jane Painted Mine - decorating company (50% interest),Mortgage - Scotiabank,Nil.,Nil.
"October 06, 2011",Reza Moridi,Richmond Hill,"Salary - Legislative Assembly of Ontario
Pension - Radiation and Safety Institute of Canada
Rental Income",Rental Property: 73 Little River Court - 50% interest,Mortgages - Bank of Montreal,1. Mr. Moridi accepted airfare and accomodation to attend the annual conference of the Association of the Friends of Persian Culture; in Chicago; Illinois; courtesy of the Association of the Friends of Persian Culture. 2. Mr. Moridi accepted airfare and accomodation to attend and speak at the annual gala of the Association of Iranian Engineers and Architects; in Quebec; courtesy of the Association of Iranian Engineers and Architects. 3. Mr. Moridi accepted airfare; food and accomodation to visit the Hong Kong Special Administrative Region to learn more about Hong Kong and to meet various officials. This trip was paid for by the Hong Kong Trade Office.,Nil
"October 06, 2011",Rick Bartolucci,Sudbury,"Salary - Legislative Assembly, Ministerial salary
Pension - Ontario Teachers Pension Board","RRSP - Sector-specific mutual fund: Investors Canadian Natural Resource Fund
(Pursuant to s. 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Bartolucci is not required to place these equities in trust on the condition that he does not buy, sell or trade same.",Nil.,Nil.,Nil.
"October 06, 2011",Rick Nicholls,Chatham-Kent Essex,Nicholls Training Group - Salary,"Nicholls Training Group - 100% interest
Shares: Toronto Dominion Bank.
RRSP: Shares: Encana Corp., Bell Canada, Crescent Point Energy Corporation, Johnson & Johnson, Power Financial Corp.",Line of Credit - Scotiabank,Nil.,Nil.
